,active_software_name,active_window_bbox,active_window_name,button,pressed,time,x,y,img_path
39,python.exe,"(369, 133, 997, 572)",AUTOMATOR,left windows,down,3.1002025604248047,,,
40,python.exe,"(369, 133, 997, 572)",AUTOMATOR,d,down,3.245307445526123,,,
41,python.exe,"(369, 133, 997, 572)",AUTOMATOR,d,up,3.35538387298584,,,
42,python.exe,"(-32000, -32000, -31840, -31972)",AUTOMATOR,left windows,up,3.946805953979492,,,
43,explorer.exe,"(0, 0, 1366, 768)",,left windows,down,4.47718358039856,,,
44,explorer.exe,"(0, 0, 1366, 768)",,r,down,4.620285987854004,,,
45,explorer.exe,"(0, 0, 1366, 768)",,r,up,4.75137996673584,,,
46,explorer.exe,"(0, 0, 1366, 768)",,left windows,up,4.844709873199463,,,
47,explorer.exe,"(8, 488, 435, 724)",Run,n,down,5.956454277038574,,,
48,explorer.exe,"(8, 488, 435, 724)",Run,n,up,6.077285051345825,,,
49,explorer.exe,"(8, 488, 435, 724)",Run,o,down,6.119316816329956,,,
50,explorer.exe,"(8, 488, 435, 724)",Run,o,up,6.230406284332275,,,
51,explorer.exe,"(8, 488, 435, 724)",Run,t,down,6.323472738265991,,,
52,explorer.exe,"(8, 488, 435, 724)",Run,t,up,6.474580764770508,,,
53,explorer.exe,"(8, 488, 435, 724)",Run,e,down,6.4835896492004395,,,
54,explorer.exe,"(8, 488, 435, 724)",Run,e,up,6.6296913623809814,,,
55,explorer.exe,"(8, 488, 435, 724)",Run,p,down,7.156066656112671,,,
56,explorer.exe,"(8, 488, 435, 724)",Run,p,up,7.247132778167725,,,
57,explorer.exe,"(8, 488, 435, 724)",Run,a,down,7.390233516693115,,,
58,explorer.exe,"(8, 488, 435, 724)",Run,a,up,7.55234956741333,,,
59,explorer.exe,"(8, 488, 435, 724)",Run,d,down,7.614393711090088,,,
60,explorer.exe,"(8, 488, 435, 724)",Run,d,up,7.691448211669922,,,
61,explorer.exe,"(8, 488, 435, 724)",Run,right shift,down,7.868574857711792,,,
62,explorer.exe,"(8, 488, 435, 724)",Run,+,down,8.072720050811768,,,
63,explorer.exe,"(8, 488, 435, 724)",Run,+,up,8.189802885055542,,,
64,explorer.exe,"(8, 488, 435, 724)",Run,+,down,8.342121839523315,,,
65,explorer.exe,"(8, 488, 435, 724)",Run,+,up,8.414093732833862,,,
66,explorer.exe,"(8, 488, 435, 724)",Run,right shift,up,8.512798309326172,,,
67,explorer.exe,"(8, 488, 435, 724)",Run,enter,down,8.924965620040894,,,
68,explorer.exe,"(8, 488, 435, 724)",Run,enter,up,9.026352167129517,,,
0,notepad++.exe,"(694, 13, 1366, 728)",*new 3 - Notepad++ [Administrator],moveTo,None,15.555827856063843,0.5944363103953147,0.13802083333333334,
1,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.49124574661255,0.5944363103953147,0.13802083333333334,
2,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.568297863006592,0.609809663250366,0.14322916666666666,
3,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.57432985305786,0.6112737920937042,0.14453125,
4,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.580307960510254,0.6142020497803806,0.14453125,
5,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.58731245994568,0.6156661786237189,0.14453125,
6,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.597318649291992,0.6171303074670571,0.14453125,
7,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.605323314666748,0.6185944363103953,0.14453125,
8,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.61232876777649,0.6207906295754027,0.14453125,
9,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.623337030410767,0.6215226939970717,0.14453125,
10,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.632344007492065,0.62298682284041,0.14453125,
11,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.637346744537354,0.6244509516837482,0.14453125,
12,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.644351720809937,0.6251830161054173,0.14453125,
13,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.65235686302185,0.6259150805270863,0.14453125,
14,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.659362316131592,0.6266471449487555,0.14453125,
15,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.667367935180664,0.6273792093704246,0.14453125,
16,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.675374269485474,0.6288433382137628,0.14453125,
17,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.68338370323181,0.6303074670571011,0.14453125,
18,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.714401245117188,0.6332357247437774,0.14453125,
19,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.72040581703186,0.6346998535871157,0.14453125,
20,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.727410793304443,0.6361639824304539,0.14453125,
21,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.814472913742065,0.6427525622254758,0.14453125,
22,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.822478532791138,0.6434846266471449,0.14453125,
23,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.891536712646484,0.6434846266471449,0.14453125,
24,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.916555881500244,0.6442166910688141,0.14453125,
25,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.923558950424194,0.6442166910688141,0.14453125,
26,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.9555823802948,0.6442166910688141,0.14453125,
27,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.967591524124146,0.6442166910688141,0.14453125,
28,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,16.987605333328247,0.6449487554904831,0.14322916666666666,
29,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,17.15408945083618,0.6449487554904831,0.14322916666666666,
30,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,17.26127862930298,0.6456808199121523,0.140625,
31,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,17.299320220947266,0.6456808199121523,0.140625,
32,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,17.315313816070557,0.6456808199121523,0.13932291666666666,
33,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,17.339341163635254,0.6456808199121523,0.13932291666666666,
34,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,17.36335825920105,0.6456808199121523,0.13802083333333334,
35,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,17.419400215148926,0.6456808199121523,0.13802083333333334,
36,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],moveTo,None,17.435409784317017,0.6456808199121523,0.13671875,
37,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],Button.left,pressed,17.61153531074524,0.6456808199121523,0.13671875,saved_snips_for_cliks/37.png
38,notepad++.exe,"(694, 13, 1366, 728)",*new 40 - Notepad++ [Administrator],Button.left,released,17.71961236000061,0.6456808199121523,0.13671875,saved_snips_for_cliks/38.png
